RESPONDENT,DATE,LOCATION,TREATMENT,PK Rank,CONCERN,CONCERN LEVEL,EGOISTIC,ALTRUISTIC,BIOSPHERIC,EFFICACY,IDEALS,CONCERN AVERAGE,LEARN,LETTER,MEETING,BEHAVIOR INTENTION AVERAGE,AGE,ETHNICITY,RESIDENCE,GENDER,MAILING LIST,DONATE,OBSERVED BEHAVIOR AVERAGE,AMOUNT ($),PE RANK ,BEACH CLOSED
148,21-Jul,Leddy Park,NM,DK,1,3,4,4,5,5,3,4.2,3,3,4,3.3,23,White,"Burlington, VT",Female,0,1,0.5,5,NM,No
149,21-Jul,Oakledge Park,HH,NM,1,3,3,3,5,5,4,4,3,2,3,2.7,28,White,"Burlington, VT",Male,0,1,0.5,5,NO,No
150,21-Jul,Oakledge Park,EH,HH,1,3,5,5,5,4,5,4.8,4,2,3,3,37,White,"Burlington, VT",Male,1,0,0.5,0,NM,No
151,21-Jul,Oakledge Park,NM,MU,1,5,4,4,5,5,5,4.6,4,2,2,2.7,72,White,"Stowe, VT",Male,0,1,0.5,5,NM,No
152,21-Jul,Oakledge Park,HH,PNS,1,5,1,4,4,3,5,3.4,4,4,3,3.7,36,White,"Burlington, VT",Female,0,1,0.5,5,HH,No
153,21-Jul,Oakledge Park,EH,MU,1,3,4,4,4,4,4,4,4,2,2,2.7,76,White,"Burlington, VT",Female,1,0,0.5,0,MU,No
154,22-Jul,Oakledge Park,NM,PNS,1,3,5,5,5,4,4,4.6,3,1,1,1.7,23,White,"Burlington, VT",Male,0,0,0,0,NM,No
155,22-Jul,Oakledge Park,HH,NM,1,1,4,5,5,5,5,4.8,5,3,4,4,34,White,"Burlington, VT",Female,0,0,0,0,NM,No
156,22-Jul,Oakledge Park,EH,DK,1,5,4,5,4,5,4,4.4,3,3,2,2.7,36,White,"Morrisville, VT",Female,1,0,0.5,0,NO,No
157,22-Jul,Oakledge Park,NM,NM,1,3,1,4,5,4,4,3.6,2,2,1,1.7,28,White,"Williston, VT",Female,0,0,0,0,NO,No
158,22-Jul,Oakledge Park,HH,NM,1,3,4,4,4,4,5,4.2,4,2,2,2.7,31,White,"Burlington, VT",Female,1,0,0.5,0,NM,No
159,22-Jul,Oakledge Park,EH,MU,1,5,2,3,5,4,5,3.8,3,2,4,3,59,White,"Burlington, VT",Male,0,0,0,0,NM,No
160,22-Jul,Oakledge Park,NM,MU,1,5,5,5,5,5,4,4.8,4,3,3,3.3,50,White,"Burlington, VT",Female,0,1,0.5,5,MU,No
161,22-Jul,North Beach,HH,HH,1,1,5,5,5,5,5,5,5,3,4,4,26,White,"Grand Rapids, MI",Male,0,0,0,0,NM,No
162,24-Jul,North Beach,EH,PNS,1,5,5,5,4,5,5,4.8,3,3,5,3.7,29,White,"Burlington, VT",Male,1,0,0.5,0,NM,No
163,24-Jul,North Beach,NM,MU,1,3,4,4,4,5,4,4.2,5,2,2,3,34,White,"Winooski, VT",Female,0,1,0.5,5,NM,No
164,24-Jul,North Beach,HH,PNS,1,5,4,4,5,4,5,4.4,4,5,4,4.3,22,White,"Warren, VT",Male,1,0,0.5,0,MU,No
165,24-Jul,North Beach,EH,PNS,1,3,2,5,4,3,5,3.8,3,4,2,3,22,White,"Burlington, VT",Male,1,0,0.5,0,NM,No
166,24-Jul,North Beach,NM,MU,0,0,0,0,0,0,0,0,0,0,0,0,25,White/Hispanic,"Burlington, VT",Male,0,0,0,0,NM,No
167,24-Jul,North Beach,HH,MU,1,5,5,5,5,5,3,4.6,4,4,4,4,28,White,"Burlington, VT",Female,0,0,0,0,NM,No
168,24-Jul,North Beach,EH,HH,1,3,4,4,3,4,5,4,3,4,3,3.3,64,White,"Colchester, VT",Female,1,0,0.5,0,NM,No
169,24-Jul,Oakledge Park,NM,MU,1,1,2,2,4,4,3,3,2,1,1,1.3,35,White,"South Burlington, VT",Male,0,0,0,0,NO,No
170,24-Jul,Oakledge Park,HH,DK,1,3,3,3,4,4,4,3.6,3,2,2,2.3,49,White,"Winooski, VT",Female,0,0,0,0,NO,No
171,24-Jul,Oakledge Park,EH,DK,1,3,3,3,3,3,3,3,3,2,2,2.3,25,White,"Shelburne, VT",Male,0,1,0.5,5,NO,No
172,24-Jul,Oakledge Park,NM,NM,1,1,3,3,4,4,4,3.6,3,1,2,2,32,White,"Burlington, VT",Male,1,0,0.5,0,NM,No
173,24-Jul,Oakledge Park,HH,MU,1,3,2,5,5,5,5,4.4,4,2,1,2.3,25,White,"Burlington, VT",Female,1,0,0.5,0,NO,No
174,24-Jul,Oakledge Park,EH,NM,0,0,0,0,0,0,0,0,0,0,0,0,22,White,"Cambridge, VT",Female,0,0,0,0,NM,No
175,24-Jul,Oakledge Park,NM,DK,1,3,4,4,5,5,5,4.6,4,1,2,2.3,40,White,"Burlington, VT",Female,1,0,0.5,0,NO,No
176,27-Jul,North Beach,HH,PNS,1,3,3,4,4,4,4,3.8,3,1,1,1.7,56,White,"South Burlington, VT",Male,0,0,0,0,NM,No
177,27-Jul,North Beach,EH,NM,1,3,2,4,4,1,5,3.2,3,3,3,3,52,White,"Westford, MA",Female,1,0,0.5,0,NO,No
178,27-Jul,North Beach,NM,NM,1,1,5,4,4,3,4,4,3,3,3,3,20,Black,"Winooski, VT",Male,0,0,0,0,NO,No
179,27-Jul,North Beach,HH,DK,1,1,2,4,4,4,4,3.6,1,1,1,1,19,White,"Middletown, NJ",Male,0,0,0,0,NO,No
180,27-Jul,North Beach,EH,DK,1,1,3,4,4,4,4,3.8,3,2,3,2.7,24,Hispanic,"Burlington, VT",Male,0,0,0,0,HH,No
181,27-Jul,North Beach,NM,PNS,1,5,4,4,4,5,5,4.4,4,3,3,3.3,46,White,"Milton, VT",Male,1,0,0.5,0,NM,No
182,27-Jul,North Beach,HH,MU,1,5,4,5,4,4,5,4.4,5,3,3,3.7,54,White,"Burlington, VT",Female,1,0,0.5,0,NM,No
183,27-Jul,North Beach,EH,DK,1,5,5,5,5,5,5,5,4,3,2,3,56,White,"Burlington, VT",Female,0,1,0.5,0,NM,No
184,28-Jul,Leddy Park,NM,MU,1,3,4,3,5,4,4,4,3,1,3,2.3,22,White,"Hinesburg, VT",Male,0,1,0.5,1,MU,No
